cino,act
DLSH010017662015,1530
DLSH010053442016,75
DLSH010053442016,1530
DLSH010005262015,34
DLSH010005262015,20
DLSH010005262015,2
DLSH010005262015,1540
DLSH010001582016,2176
DLSH010001582016,1534
DLSH010009842020,1
DLSH010009842020,12
DLSH010009842020,2
DLSH010009842020,325
DLSH010009842020,2193
DLSH010009842020,1529
DLSH010039502018,4
DLSH010039502018,63
DLSH010039502018,33
DLSH010039502018,1
DLSH010039502018,2
DLSH010039502018,1529
DLSH010052632019,11
DLSH010052632019,12
DLSH010052632019,39
DLSH010052632019,2
DLSH010052632019,1530
DLSH010067202017,11
DLSH010067202017,45
DLSH010067202017,2194
DLSH010067202017,1533
DLSH010028012016,1
DLSH010028012016,35
DLSH010028012016,1534
DLSH010078472019,1
DLSH010078472019,2
DLSH010078472019,11
DLSH010078472019,1530
DLSH010013702016,20
DLSH010013702016,48
DLSH010013702016,75
DLSH010013702016,11
DLSH010013702016,1530
DLSH010047452019,1
DLSH010047452019,2
DLSH010047452019,1529
DLSH010066862016,20
DLSH010066862016,1540
DLSH010052562016,75
DLSH010052562016,1530
DLSH010003822019,20
DLSH010003822019,1533
DLSH010003852019,4
DLSH010003852019,5
DLSH010003852019,674
DLSH010003852019,1
DLSH010003852019,1534
DLSH010026762016,1
DLSH010026762016,45
DLSH010026762016,18
DLSH010026762016,1529
DLSH010002052019,20
DLSH010002052019,12
DLSH010002052019,2
DLSH010002052019,75
DLSH010002052019,1530
DLSH010008352019,171
DLSH010008352019,2
DLSH010008352019,1530
DLSH010026312019,20
DLSH010026312019,11
DLSH010026312019,12
DLSH010026312019,1533
DLSH010026312019,1530
DLSH010003962018,45
DLSH010003962018,20
DLSH010003962018,1540
DLSH010064142017,11
DLSH010064142017,1533
DLSH010061842019,22
DLSH010061842019,1540
DLSH010061842019,1530
DLSH010064612019,1530
DLSH010047082018,4
DLSH010047082018,8
DLSH010047082018,1529
DLSH010077072019,1534
DLSH010077072019,1
DLSH010077072019,4
DLSH010077072019,35
DLSH010077072019,9
DLSH010006222015,2176
DLSH010006222015,1
DLSH010006222015,1534
DLSH010059172017,12
DLSH010059172017,1530
DLSH010047482019,34
DLSH010047482019,63
DLSH010047482019,1
DLSH010047482019,1529
DLSH010045052018,20
DLSH010045052018,11
DLSH010045052018,10
DLSH010045052018,2
DLSH010045052018,1533
DLSH010059462019,12
DLSH010059462019,75
DLSH010059462019,1530
DLSH010053472019,18
DLSH010053472019,45
DLSH010053472019,35
DLSH010053472019,2
DLSH010053472019,1529
DLSH010070692018,8
DLSH010070692018,1534
DLSH010022992019,4
DLSH010022992019,1
DLSH010022992019,1534
DLSH010004642017,11
DLSH010004642017,125
DLSH010004642017,12
DLSH010004642017,75
DLSH010004642017,1540
DLSH010004642017,1530
DLSH010025122019,45
DLSH010025122019,11
DLSH010025122019,9
DLSH010025122019,1530
DLSH010059462018,1
DLSH010059462018,2
DLSH010059462018,1529
DLSH010077222018,20
DLSH010077222018,11
DLSH010077222018,22
DLSH010077222018,1533
DLSH010077222018,1540
DLSH010001132018,20
DLSH010001132018,2
DLSH010001132018,11
DLSH010001132018,75
DLSH010001132018,4
DLSH010001132018,51
DLSH010001132018,1533
DLSH010007312017,10
DLSH010007312017,12
DLSH010007312017,45
DLSH010007312017,73
DLSH010007312017,39
DLSH010007312017,75
DLSH010007312017,1534
DLSH010052822019,10
DLSH010052822019,1540
DLSH010070162018,8
DLSH010070162018,1658
DLSH010070162018,1534
DLSH010018972019,11
DLSH010018972019,12
DLSH010018972019,75
DLSH010018972019,1530
DLSH010047472019,20
DLSH010047472019,1533
DLSH010047472019,1892
DLSH010047472019,1671
DLSH010013312016,1
DLSH010013312016,20
DLSH010013312016,2
DLSH010013312016,1529
DLSH010082662018,63
DLSH010082662018,1
DLSH010082662018,124
DLSH010082662018,1529
DLSH010032882018,39
DLSH010032882018,171
DLSH010032882018,116
DLSH010032882018,11
DLSH010032882018,12
DLSH010032882018,1533
DLSH010032882018,1530
DLSH010064932016,10
DLSH010064932016,13
DLSH010064932016,1540
DLSH010064932016,1530
DLSH010019982019,8
DLSH010019982019,9
DLSH010019982019,1529
DLSH010019982019,2195
DLSH010001462020,1
DLSH010001462020,1529
DLSH010027782019,1
DLSH010027782019,1529
DLSH010027782019,2196
DLSH010018042017,20
DLSH010018042017,2
DLSH010018042017,1533
DLSH010006262015,2172
DLSH010006262015,1529
DLSH010046842018,4
DLSH010046842018,5
DLSH010046842018,1
DLSH010046842018,1529
DLSH010046842018,2197
DLSH010079792019,4
DLSH010079792019,1
DLSH010079792019,1534
DLSH010045562019,4
DLSH010045562019,1
DLSH010045562019,2
DLSH010045562019,1529
DLSH010080812016,11
DLSH010080812016,1533
DLSH010068552019,2198
DLSH010068552019,20
DLSH010068552019,10
DLSH010068552019,35
DLSH010068552019,5
DLSH010068552019,9
DLSH010068552019,1534
DLSH010053252019,45
DLSH010053252019,22
DLSH010053252019,1
DLSH010053252019,2
DLSH010053252019,9
DLSH010053252019,1529
DLSH010053252019,1533
DLSH010007592016,1
DLSH010007592016,2
DLSH010007592016,1529
DLSH010056482018,1
DLSH010056482018,2
DLSH010056482018,45
DLSH010056482018,35
DLSH010056482018,19
DLSH010056482018,2199
DLSH010056482018,1529
DLSH010013622018,12
DLSH010013622018,1530
DLSH010011042014,2178
DLSH010011042014,8
DLSH010011042014,4
DLSH010011042014,2
DLSH010011042014,1529
DLSH010008922018,8
DLSH010008922018,1529
DLSH010000872018,1
DLSH010000872018,1534
DLSH010058592019,11
DLSH010058592019,12
DLSH010058592019,2
DLSH010058592019,1530
DLSH010080202017,1
